[ 5.e+03 -1.e+00],[ 4.5e+03 -1.0e+00],[ 5.5e+03 -1.0e+00]
(2.7827386152888615e-14+4.712181147125381e-26j),(6.120624538137254e-14+4.254174394195959e-26j),(6.120624538137242e-14+4.253150858226072e-26j)
(-9.102372888342904e-16+4.6939508344920003e-26j),(4.287270835554392e-14+4.2550735801174047e-26j),(4.28727083555441e-14+4.24986465708583e-26j)
(2.9470521089587135e-15+4.707694232142897e-26j),(2.999947969788049e-14+4.252477992401507e-26j),(2.999947969788054e-14+4.2470583787640014e-26j)
(3.20184456350323e-14+4.714879609486411e-26j),(2.3375994717681587e-14+4.2671562380176166e-26j),(2.3375994717681433e-14+4.2586037022009027e-26j)
(2.4979590364359074e-14+4.6885655037411296e-26j),(1.7187278116787056e-14+4.251082673928625e-26j),(1.718727811678703e-14+4.2612253920920043e-26j)
(1.4124231810419014e-14+4.741774878569273e-26j),(1.4105821727076154e-14+4.2537755387288946e-26j),(1.410582172707618e-14+4.257396255862006e-26j)
(4.43656429105817e-15+4.6948865980019616e-26j),(1.0391367745916773e-14+4.2542527582387875e-26j),(1.0391367745916795e-14+4.255610160526332e-26j)
(7.140672809458275e-15+4.730222433248001e-26j),(8.893474971682143e-15+4.2531489836659405e-26j),(8.89347497168202e-15+4.255513128837495e-26j)
(3.722821024034863e-15+4.682215235872632e-26j),(6.534095606454365e-15+4.256187199173725e-26j),(6.534095606454147e-15+4.255320075444272e-26j)
(8.147154416319164e-15+4.724872028342266e-26j),(6.09679990591394e-15+4.2551157180946227e-26j),(6.09679990591394e-15+4.258653051630245e-26j)
(5.63761279527942e-15+4.699280257245536e-26j),(4.5485725833638315e-15+4.2478544706437757e-26j),(4.548572583363934e-15+4.250636413519108e-26j)
(9.50573320722973e-15+4.734380457754703e-26j),(4.3998528422778755e-15+4.2513338817812286e-26j),(4.399852842278132e-15+4.2515757677361335e-26j)
(1.7932215589659624e-15+4.70980456497912e-26j),(3.153392161904464e-15+4.244072779457845e-26j),(3.153392161904515e-15+4.241656142362253e-26j)
(-2.924490416343341e-15+4.6970368793226077e-26j),(3.1965505125407933e-15+4.264167540239742e-26j),(3.1965505125407227e-15+4.265137125191537e-26j)
(-2.7378963541447904e-15+4.7310035240483703e-26j),(2.1813933155032506e-15+4.2571396674880747e-26j),(2.181393315503241e-15+4.2557465925655504e-26j)
(1.2119468472737025e-14+4.7048871122330326e-26j),(2.3744820161886287e-15+4.2553654201221575e-26j),(2.3744820161887537e-15+4.2539445283810917e-26j)
(9.872160277573868e-15+4.7222026435086504e-26j),(1.534468995323401e-15+4.252407707624767e-26j),(1.5344689953234587e-15+4.254879345906311e-26j)
(4.256387933110913e-15+4.674195446133282e-26j),(1.7653881207284458e-15+4.2526845968985385e-26j),(1.765388120728343e-15+4.250814999451667e-26j)
(-2.710501439331072e-15+4.6924005626072906e-26j),(1.0588037661769123e-15+4.259345989296202e-26j),(1.0588037661768098e-15+4.2546673797036856e-26j)
(-1.386120965766397e-15+4.7117506945183686e-26j),(1.386349687795017e-15+4.252634351427407e-26j),(1.386349687795017e-15+4.251650998708085e-26j)
(-4.672139761382419e-15+4.716825129391206e-26j),(6.755115107653142e-16+4.246333624665693e-26j),(6.755115107655193e-16+4.258593083758065e-26j)
(-2.0341538823267064e-15+4.7100672582985887e-26j),(1.0006969325225668e-15+4.249622646155434e-26j),(1.0006969325225155e-15+4.241656142362253e-26j)
(-4.8665774137887585e-15+4.7059381743895736e-26j),(3.9787403027329125e-16+4.256263994402123e-26j),(3.978740302731438e-16+4.2517804581030166e-26j)
(-6.725144624212991e-16+4.737163411360025e-26j),(6.796243991351917e-16+4.255547592863631e-26j),(6.796243991350346e-16+4.25396909191445e-26j)
(6.790707469058837e-17+4.695017556099192e-26j),(1.822077053435644e-17+4.255516770895897e-26j),(1.8220770534382084e-17+4.255957505294394e-26j)
(1.028920017848738e-14+4.721366962401169e-26j),(2.687537311179808e-16+4.251443942999061e-26j),(2.6875373111800646e-16+4.2535839886141316e-26j)
(6.608757035531806e-15+4.696857955390489e-26j),(-3.8995539255103533e-16+4.2598267983166855e-26j),(-3.8995539255098405e-16+4.257423038657064e-26j)
(-2.579131128819238e-15+4.713769564839526e-26j),(-1.2628339789488023e-16+4.2602873131948656e-26j),(-1.2628339789495717e-16+4.2645086336155335e-26j)
(-9.406041759248435e-15+4.708401996256555e-26j),(-7.9175073406241945e-16+4.2471760900155645e-26j),(-7.917507340624965e-16+4.257212537605617e-26j)
(9.018347875277167e-16+4.732621663969297e-26j),(-4.497639556312788e-16+4.256487887271182e-26j),(-4.497639556313301e-16+4.2509526953557993e-26j)
(1.869658900153911e-15+4.701082855357937e-26j),(-1.0122256434015807e-15+4.2491359340471956e-26j),(-1.0122256434013243e-15+4.2586037022009027e-26j)
(3.025393919237267e-15+4.708566532203273e-26j),(-6.543567103382053e-16+4.2519715988002753e-26j),(-6.543567103381284e-16+4.251557471790898e-26j)
(-2.1818386341798886e-15+4.660792367620623e-26j),(-1.316969473657383e-15+4.254019768610544e-26j),(-1.3169694736575113e-15+4.255517383754179e-26j)
(-1.1539584431177286e-15+4.713410552110005e-26j),(-1.1415171113795315e-15+4.2562465199427715e-26j),(-1.1415171113795956e-15+4.254919156040801e-26j)
(-6.079948853738001e-15+4.712095705401373e-26j),(-1.9465482375325787e-15+4.2522607542536006e-26j),(-1.9465482375325144e-15+4.257519810751089e-26j)
(-3.149660603033153e-15+4.73011789931882e-26j),(-1.7487011845040745e-15+4.2534145791364046e-26j),(-1.7487011845039207e-15+4.255930801039006e-26j)
(-3.393609418963866e-15+4.701696353828111e-26j),(-2.5765340014277244e-15+4.2579857368513656e-26j),(-2.5765340014277244e-15+4.2489448708840496e-26j)
(1.0496520068836807e-14+4.7080047699951375e-26j),(-2.480756147945072e-15+4.2633097928643677e-26j),(-2.4807561479451747e-15+4.2549694823500576e-26j)
(4.819625301789696e-15+4.7042555707519424e-26j),(-3.5060932380653497e-15+4.253799980027288e-26j),(-3.506093238065555e-15+4.250279498696691e-26j)
(-2.1181811536553457e-14+4.7116403525993644e-26j),(-3.62838836330985e-15+4.2572209190781023e-26j),(-3.6283883633094396e-15+4.259892808423848e-26j)
(-4.301135443423694e-14+4.721133221347509e-26j),(-5.0331988532551225e-15+4.258430879278683e-26j),(-5.03319885325502e-15+4.2532837859042287e-26j)
(-1.6587733388485568e-14+4.7128555037530314e-26j),(-5.4958019510430385e-15+4.256268931331052e-26j),(-5.495801951043026e-15+4.249967814741622e-26j)
