[ 5.e+03 -1.e+00]
(-2.8224788891049005e-14+1.5858325437878258e-25j)
(-2.6424378673786625e-14+1.5821042657865351e-25j)
(-4.911700711034933e-14+1.580447253341517e-25j)
(-5.800611653116527e-14+1.5846403860667035e-25j)
(-9.969812662315977e-14+1.583677728730367e-25j)
(-8.263960829040633e-14+1.5891397581449605e-25j)
(5.441750682223505e-13+1.5840658324949174e-25j)
(4.0173265681544405e-12+1.589665032825465e-25j)
(1.0007860090065462e-11+1.5838129936031235e-25j)
(5.638281225686816e-12+1.58376279958068e-25j)
(-1.2583137162738178e-11+1.5864664176764535e-25j)
(-1.641402553691015e-11+1.5828994263037187e-25j)
(-2.4285444540245154e-12+1.5846342698127019e-25j)
(4.840360843464501e-12+1.5826882264283965e-25j)
(3.4604474962007433e-12+1.5853402159237968e-25j)
(1.4811074206420386e-12+1.5847130551202726e-25j)
(6.793571370062561e-13+1.5832713846445192e-25j)
(3.6046088266693294e-13+1.5791875960709433e-25j)
(2.331156502365447e-13+1.586298333176623e-25j)
(1.4479499380866249e-13+1.5820502329978885e-25j)
(1.1099509006458072e-13+1.5856883967108365e-25j)
(7.074530778761605e-14+1.5838145723377777e-25j)
(6.185958969779293e-14+1.5915303494163716e-25j)
(3.793292951377808e-14+1.5849002206859533e-25j)
(3.7892898374560055e-14+1.58397879446659e-25j)
(2.0926056622863466e-14+1.5749845450350553e-25j)
(2.4541719448613586e-14+1.5857319888959504e-25j)
(1.0938389473395114e-14+1.5848664436378574e-25j)
(1.6215984419901187e-14+1.5865752396164996e-25j)
(4.30082342017529e-15+1.590075072904517e-25j)
(1.03753614862474e-14+1.5833720463650633e-25j)
(-7.917437545898578e-16+1.5839761312236795e-25j)
(5.645508458802156e-15+1.5810477695307437e-25j)
(-5.436013307566496e-15+1.5862871557117836e-25j)
(1.060628886902742e-15+1.588773531972486e-25j)
(-1.0563053059657157e-14+1.5858079438128934e-25j)
(-4.390381367282904e-15+1.5834009653440123e-25j)
(-1.7387557577176235e-14+1.5839041115490925e-25j)
(-1.2331734962457088e-14+1.585588561973855e-25j)
